VSN,Latitude,Depth
21,-31.83333333,12
76,-31.55666667,3
4,-31.55666667,3
21,-31.55666667,3
99,-31.55666667,3
55,-31.55666667,3
99,-31.55666667,3
63,-31.55666667,3
63,-31.55666667,3
63,-31.55666667,3
71,-31.555,3
4,-31.55166667,3
99,-31.55166667,3
60,-31.55166667,3
71,-31.55166667,3
71,-31.55166667,3
49,-31.55166667,3
99,-31.55166667,3
63,-31.55166667,3
63,-31.55166667,3
63,-31.55166667,3
49,-31.55,3.5
49,-31.55,3.5
49,-31.55,3.5
49,-31.55,3.5
49,-31.55,3.5
51,-31.55,3.5
88,-31.55,2.5
62,-31.55,5
62,-31.55,5
62,-31.55,5
62,-31.55,5
62,-31.55,5
62,-31.55,5
62,-31.55,5
62,-31.55,5
62,-31.55,5
62,-31.55,5
62,-31.55,5
62,-31.55,5
62,-31.55,5
62,-31.55,5
71,-31.55,3.5
71,-31.55,3.5
71,-31.55,3.5
71,-31.55,3.5
71,-31.55,3.5
71,-31.55,3.5
71,-31.55,3.5
71,-31.55,3.5
71,-31.55,3.5
71,-31.55,3.5
71,-31.55,3.5
71,-31.55,3.5
99,-31.55,3.5
99,-31.55,3.5
99,-31.55,3.5
99,-31.55,3.5
99,-31.55,3.5
99,-31.55,3.5
99,-31.55,3.5
99,-31.55,3.5
99,-31.55,5
99,-31.55,5
99,-31.55,5
99,-31.55,5
99,-31.55,5
49,-31.55,4
49,-31.55,4
49,-31.55,4
49,-31.55,4
49,-31.55,4
49,-31.55,4
4,-31.53833333,3
4,-31.53166667,4
4,-31.53166667,4
4,-31.53166667,4
4,-31.53166667,4
99,-31.53166667,4
99,-31.53166667,1
21,-31.53166667,4
21,-31.53166667,4
21,-31.53166667,4
63,-31.53166667,4
64,-31.53166667,4
99,-31.53166667,4
99,-31.53166667,4
99,-31.52666667,5
99,-31.52666667,5
71,-31.52666667,5
63,-31.52666667,5
108,-31.52666667,5
108,-31.52666667,5
99,-31.52666667,5
63,-31.52666667,5
74,-31.52666667,5
4,-31.52166667,3
99,-31.52166667,2
99,-31.52166667,2
71,-31.52166667,5
71,-31.52166667,2
71,-31.52166667,2
71,-31.52166667,2
71,-31.52166667,2
71,-31.52166667,2
104,-31.52166667,2
74,-31.52166667,2
76,-31.52166667,2
76,-31.52166667,2
108,-31.52166667,5
51,-31.52166667,4
51,-31.52166667,2
108,-31.52166667,5
65,-31.52166667,5
108,-31.52166667,4
108,-31.52166667,5
108,-31.52166667,4
108,-31.52166667,5
103,-31.52166667,2
21,-31.52166667,2
63,-31.52,1
99,-31.52,1
63,-31.52,1
4,-31.51833333,3
71,-31.51833333,3
71,-31.51833333,3
104,-31.51833333,3
49,-31.51833333,3
74,-31.51833333,3
51,-31.51833333,3
51,-31.51833333,3
71,-31.51833333,3
49,-31.51833333,3
63,-31.51833333,3
71,-31.51833333,3
71,-31.51833333,3
97,-31.51833333,3
65,-31.51833333,3
57,-31.51833333,3
63,-31.51833333,3
4,-31.515,2
99,-31.515,2
99,-31.515,2
89,-31.515,2
71,-31.515,2
71,-31.515,2
4,-31.515,2
99,-31.515,2
99,-31.515,2
21,-31.515,2
99,-31.515,2
76,-31.515,2
76,-31.515,2
21,-31.515,2
99,-31.515,2
71,-31.515,2
4,-31.51,4
99,-31.51,3
63,-31.51,3
99,-31.51,5
63,-31.51,7
63,-31.51,7
21,-31.51,3
7,-31.51,4
63,-31.51,7
65,-31.46666667,2.5
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
49,-31.46666667,4
76,-31.46666667,5
92,-31.46666667,7.5
74,-31.37166667,3
71,-31.37166667,3
51,-31.37166667,3
71,-31.37166667,3
99,-30.94837,7
21,-30.159215,9
97,-30.159215,9
76,-30.159215,9
76,-30.159215,6
76,-30.159215,6
82,-30.159215,6
82,-30.159215,9
60,-30.159215,13
107,-30.159215,9
89,-30.159215,9
89,-30.159215,9
77,-30.159215,8
71,-30.159215,11
71,-30.159215,7
71,-30.159215,11
21,-30.01896889,8
97,-30.01896889,8
76,-30.01896889,6
76,-30.01896889,8
76,-30.01896889,8
65,-30.01896889,7
60,-30.01896889,7
104,-30.01896889,8
63,-30.01896889,8
88,-30.01896889,8
89,-30.01896889,8
77,-30.01896889,7
99,-29.96666667,12
108,-29.93333333,1
108,-29.93333333,4
108,-29.93333333,1
71,-29.93333333,4
71,-29.93333333,1
96,-29.93333333,4
78,-29.93333333,1
78,-29.93333333,1
78,-29.93333333,1
49,-29.93333333,1
49,-29.93333333,1
21,-29.93333333,1
49,-29.93333333,4
49,-29.93333333,1
78,-29.93333333,4
21,-29.93333333,4
63,-29.93333333,1
75,-29.93333333,7.5
75,-29.93333333,7.5
99,-29.93333333,7.5
99,-29.93333333,7.5
99,-29.93333333,7.5
99,-29.93333333,7.5
99,-29.93333333,7.5
99,-29.93333333,7.5
99,-29.93333333,7.5
99,-29.93333333,7.5
71,-29.93333333,7.5
71,-29.93333333,7.5
71,-29.93333333,7.5
71,-29.93333333,7.5
71,-29.93333333,7.5
71,-29.93333333,7.5
63,-29.93333333,7.5
94,-29.93333333,7.5
82,-29.93333333,7.5
71,-29.93333333,7.5
71,-29.93333333,7.5
76,-29.93333333,7.5
21,-29.93333333,7.5
61,-29.93333333,7.5
78,-29.93333333,7.5
97,-29.93333333,7.5
99,-29.93333333,12
93,-29.93333333,7.5
71,-29.93333333,7.5
63,-29.93333333,7.5
64,-29.93333333,7.5
57,-29.93333333,7.5
65,-29.93333333,7.5
